ID_USER;genero;monto;fecha;hora;dispositivo;establecimiento;ciudad;tipo_tc;linea_tc;interes_tc;status_txn;is_prime;dcto;cashback
0;F;608.3456335;21/01/2020;20;{'model': 2020, 'device_score': 3, 'os': 'ANDROID'};Super;Merida;Física;71000;51;Aceptada;False;60.83456335;5.475110702
0;F;88.71924289;15/01/2020;7;{'model': 2020, 'device_score': 1, 'os': 'ANDROID'};N/A;Merida;Virtual;71000;51;Aceptada;False;0;1.774384858
1;F;790.0376533;17/01/2020;11;{'model': 2020, 'device_score': 1, 'os': '.'};;Guadalajara;Virtual;94000;56;En proceso;False;0;15.80075307
1;F;767.0053873;5/01/2020;11;{'model': 2020, 'device_score': 3, 'os': 'WEB'};MPago;Guadalajara;Física;94000;56;Aceptada;False;0;7.670053873
1;F;254.1710526;30/01/2020;10;{'model': 2020, 'device_score': 3, 'os': '%%'};;Guadalajara;Física;94000;56;Aceptada;False;0;2.541710526
1;F;37.00374724;27/01/2020;3;{'model': 2020, 'device_score': 2, 'os': '%%'};N/A;Guadalajara;Física;94000;56;Rechazada;False;0;0.370037472
1;F;334.5160168;6/01/2020;2;{'model': 2020, 'device_score': 1, 'os': '%%'};Abarrotes;Guadalajara;Física;94000;56;Aceptada;False;33.45160168;3.010644152
1;F;322.2644048;11/01/2020;13;{'model': 2020, 'device_score': 4, 'os': '%%'};MPago;Guadalajara;Física;94000;56;Aceptada;False;0;3.222644048
1;F;911.7978036;19/01/2020;3;{'model': 2020, 'device_score': 3, 'os': '.'};Abarrotes;Guadalajara;Virtual;94000;56;Aceptada;False;91.17978036;16.41236046
2;F;160.0951872;8/01/2020;2;{'model': 2020, 'device_score': 3, 'os': 'WEB'};;Toluca;Física;55000;57;Aceptada;False;16.00951872;1.440856685
2;F;60.74276394;18/01/2020;10;{'model': 2020, 'device_score': 1, 'os': 'ANDROID'};;Toluca;Física;55000;57;Aceptada;False;0;0.607427639
2;F;517.5417181;7/01/2020;14;{'model': 2020, 'device_score': 2, 'os': 'WEB'};Farmacia;Toluca;Física;55000;57;Aceptada;False;51.75417181;4.657875463
2;F;436.9502657;30/01/2020;6;{'model': 2020, 'device_score': 1, 'os': '%%'};MPago;Toluca;Virtual;55000;57;En proceso;False;87.39005313;6.99120425
2;F;439.3063117;26/01/2020;16;{'model': 2020, 'device_score': 5, 'os': 'ANDROID'};MPago;Toluca;Física;55000;57;Aceptada;False;0;4.393063117
2;F;599.014183;30/01/2020;22;{'model': 2020, 'device_score': 5, 'os': 'WEB'};Super;Toluca;Física;55000;57;Aceptada;False;119.8028366;4.792113464
2;F;576.2429866;4/01/2020;8;{'model': 2020, 'device_score': 2, 'os': 'ANDROID'};N/A;Toluca;Física;55000;57;Aceptada;False;0;5.762429866
3;F;415.3643119;26/01/2020;19;{'model': 2020, 'device_score': 2, 'os': 'ANDROID'};Super;Toluca;Física;62000;34;Aceptada;False;0;4.153643119
3;F;62.60783621;25/01/2020;12;{'model': 2020, 'device_score': 3, 'os': 'ANDROID'};Farmacia;Toluca;Física;62000;34;Aceptada;False;0;0.626078362
4;--;277.1765241;27/01/2020;6;{'model': 2020, 'device_score': 2, 'os': 'WEB'};Restaurante;Merida;Física;83000;37;Aceptada;False;55.43530481;2.217412193
5;M;31.780052;25/01/2020;11;{'model': 2020, 'device_score': 2, 'os': 'WEB'};Farmacia;Monterrey;Física;33000;54;En proceso;False;0;0.31780052
5;M;680.8970683;4/01/2020;15;{'model': 2020, 'device_score': 5, 'os': '%%'};Super;Monterrey;Física;33000;54;Aceptada;False;136.1794137;5.447176546
5;M;243.0206747;11/01/2020;3;{'model': 2020, 'device_score': 1, 'os': '.'};;Monterrey;Física;33000;54;Aceptada;False;0;2.430206747
6;F;650.5538036;26/01/2020;16;{'model': 2020, 'device_score': 3, 'os': '.'};Super;Guadalajara;Física;39000;55;Aceptada;False;0;6.505538036
7;--;905.1150722;22/01/2020;23;{'model': 2020, 'device_score': 4, 'os': 'ANDROID'};NA;Guadalajara;Virtual;72000;57;Aceptada;False;90.51150722;16.2920713
7;--;392.6937372;16/01/2020;10;{'model': 2020, 'device_score': 1, 'os': '%%'};NA;Guadalajara;Física;72000;57;Aceptada;False;0;3.926937372
7;--;621.6047006;19/01/2020;13;{'model': 2020, 'device_score': 2, 'os': '%%'};MPago;Guadalajara;Física;72000;57;Aceptada;False;0;6.216047006
7;--;43.72167021;4/01/2020;17;{'model': 2020, 'device_score': 1, 'os': 'WEB'};Abarrotes;Guadalajara;Física;72000;57;Aceptada;False;0;0.437216702
7;--;444.2993421;17/01/2020;6;{'model': 2020, 'device_score': 3, 'os': 'WEB'};NA;Guadalajara;Virtual;72000;57;En proceso;False;0;8.885986842
8;M;460.1188027;12/01/2020;18;{'model': 2020, 'device_score': 1, 'os': 'ANDROID'};N/A;;Física;76000;58;Aceptada;False;46.01188027;4.141069224
8;M;972.1334966;5/01/2020;14;{'model': 2020, 'device_score': 4, 'os': 'ANDROID'};Restaurante;;Física;76000;58;Aceptada;False;0;9.721334966
8;M;121.7157878;26/01/2020;21;{'model': 2020, 'device_score': 2, 'os': '.'};Abarrotes;;Física;76000;58;Aceptada;False;0;1.217157878
8;M;594.7690795;12/01/2020;3;{'model': 2020, 'device_score': 4, 'os': 'WEB'};NA;;Virtual;76000;58;Rechazada;False;59.47690795;10.70584343
8;M;689.4506893;15/01/2020;4;{'model': 2020, 'device_score': 1, 'os': '.'};Restaurante;;Física;76000;58;Aceptada;False;0;6.894506893
8;M;51.58899492;29/01/2020;3;{'model': 2020, 'device_score': 1, 'os': 'ANDROID'};Super;;Física;76000;58;En proceso;False;0;0.515889949
8;M;85.9038243;30/01/2020;13;{'model': 2020, 'device_score': 4, 'os': 'ANDROID'};Restaurante;;Física;76000;58;Aceptada;False;0;0.859038243
9;F;687.6252621;21/01/2020;4;{'model': 2020, 'device_score': 1, 'os': '.'};NA;NA;Física;62000;45;En proceso;False;68.76252621;6.188627359
9;F;305.1780781;4/01/2020;11;{'model': 2020, 'device_score': 1, 'os': 'ANDROID'};;NA;Física;62000;45;Aceptada;False;30.51780781;2.746602703
9;F;253.3271473;14/01/2020;8;{'model': 2020, 'device_score': 1, 'os': 'WEB'};MPago;NA;Física;62000;45;Aceptada;False;0;2.533271473
9;F;18.47114828;16/01/2020;12;{'model': 2020, 'device_score': 1, 'os': 'ANDROID'};;NA;Virtual;62000;45;Rechazada;False;0;0.369422966
9;F;637.9485516;17/01/2020;18;{'model': 2020, 'device_score': 5, 'os': 'WEB'};;NA;Física;62000;45;En proceso;False;0;6.379485516
9;F;812.3275524;27/01/2020;23;{'model': 2020, 'device_score': 1, 'os': '.'};Farmacia;NA;Física;62000;45;Aceptada;False;0;8.123275524
9;F;449.2023715;7/01/2020;18;{'model': 2020, 'device_score': 3, 'os': '.'};Super;NA;Virtual;62000;45;Aceptada;False;0;8.98404743
9;F;586.507627;18/01/2020;16;{'model': 2020, 'device_score': 1, 'os': '%%'};MPago;NA;Virtual;62000;45;Aceptada;False;58.6507627;10.55713729
9;F;9.490079551;7/01/2020;7;{'model': 2020, 'device_score': 4, 'os': 'ANDROID'};MPago;NA;Física;62000;45;Rechazada;False;0.949007955;0.085410716
9;F;581.5642017;26/01/2020;6;{'model': 2020, 'device_score': 1, 'os': 'WEB'};Abarrotes;NA;Física;62000;45;Aceptada;False;0;5.815642017
10;M;948.7450691;29/01/2020;7;{'model': 2020, 'device_score': 5, 'os': '%%'};Super;Monterrey;Virtual;44000;42;Aceptada;False;189.7490138;15.1799211
10;M;723.5893626;12/01/2020;17;{'model': 2020, 'device_score': 3, 'os': '.'};Restaurante;Monterrey;Física;44000;42;Aceptada;False;0;7.235893626
10;M;784.7254218;18/01/2020;21;{'model': 2020, 'device_score': 2, 'os': 'ANDROID'};Abarrotes;Monterrey;Virtual;44000;42;En proceso;False;0;15.69450844
11;F;513.6973955;28/01/2020;2;{'model': 2020, 'device_score': 2, 'os': '%%'};Super;;Física;81000;57;Aceptada;False;0;5.136973955
12;M;188.4987298;14/01/2020;9;{'model': 2020, 'device_score': 3, 'os': 'ANDROID'};Farmacia;Monterrey;Física;64000;45;Aceptada;False;18.84987298;1.696488568
12;M;169.384236;3/01/2020;17;{'model': 2020, 'device_score': 2, 'os': '.'};Restaurante;Monterrey;Física;64000;45;Rechazada;False;0;1.69384236
12;M;314.8805156;10/01/2020;12;{'model': 2020, 'device_score': 5, 'os': '.'};Abarrotes;Monterrey;Física;64000;45;Aceptada;False;31.48805156;2.833924641
13;--;972.6180779;2/01/2020;10;{'model': 2020, 'device_score': 2, 'os': '%%'};;Merida;Virtual;34000;48;Aceptada;True;0;19.45236156
13;--;86.32159086;27/01/2020;13;{'model': 2020, 'device_score': 1, 'os': 'ANDROID'};Farmacia;Merida;Física;34000;48;Aceptada;True;8.632159086;0.776894318
13;--;294.9425164;12/01/2020;16;{'model': 2020, 'device_score': 4, 'os': '%%'};NA;Merida;Física;34000;48;Aceptada;True;29.49425164;2.654482648
13;--;276.9087653;17/01/2020;5;{'model': 2020, 'device_score': 3, 'os': 'ANDROID'};Super;Merida;Física;34000;48;En proceso;True;0;2.769087653
13;--;534.3527573;13/01/2020;23;{'model': 2020, 'device_score': 5, 'os': 'ANDROID'};;Merida;Virtual;34000;48;Aceptada;True;106.8705515;8.549644116
14;M;499.9110127;6/01/2020;15;{'model': 2020, 'device_score': 5, 'os': '%%'};N/A;Toluca;Física;67000;35;Aceptada;False;0;4.999110127
14;M;236.8562229;3/01/2020;1;{'model': 2020, 'device_score': 4, 'os': '.'};Farmacia;Toluca;Física;67000;35;Aceptada;False;0;2.368562229
14;M;19.78947623;4/01/2020;16;{'model': 2020, 'device_score': 5, 'os': 'ANDROID'};NA;Toluca;Física;67000;35;Aceptada;False;0;0.197894762
14;M;634.1325603;20/01/2020;3;{'model': 2020, 'device_score': 4, 'os': '.'};Farmacia;Toluca;Virtual;67000;35;Aceptada;False;0;12.68265121
14;M;823.0559347;9/01/2020;9;{'model': 2020, 'device_score': 2, 'os': '%%'};Restaurante;Toluca;Física;67000;35;Aceptada;False;82.30559347;7.407503413
14;M;82.67100295;3/01/2020;1;{'model': 2020, 'device_score': 2, 'os': 'ANDROID'};Farmacia;Toluca;Virtual;67000;35;Aceptada;False;8.267100295;1.488078053
14;M;499.3875434;8/01/2020;5;{'model': 2020, 'device_score': 5, 'os': 'WEB'};NA;Toluca;Virtual;67000;35;Aceptada;False;0;9.987750869
14;M;670.9361402;25/01/2020;22;{'model': 2020, 'device_score': 2, 'os': 'ANDROID'};MPago;Toluca;Física;67000;35;Aceptada;False;0;6.709361402
14;M;409.5437679;7/01/2020;14;{'model': 2020, 'device_score': 4, 'os': '%%'};MPago;Toluca;Virtual;67000;35;Aceptada;False;40.95437679;7.371787822
14;M;702.8178848;17/01/2020;8;{'model': 2020, 'device_score': 1, 'os': 'WEB'};;Toluca;Física;67000;35;Aceptada;False;70.28178848;6.325360963
14;M;415.5992852;28/01/2020;8;{'model': 2020, 'device_score': 3, 'os': '.'};NA;Toluca;Física;67000;35;Aceptada;False;83.11985703;3.324794281
14;M;55.96940082;12/01/2020;19;{'model': 2020, 'device_score': 1, 'os': 'ANDROID'};Farmacia;Toluca;Física;67000;35;En proceso;False;0;0.559694008
14;M;712.338018;29/01/2020;16;{'model': 2020, 'device_score': 5, 'os': '%%'};Abarrotes;Toluca;Física;67000;35;Rechazada;False;0;7.12338018
15;M;133.4416696;12/01/2020;5;{'model': 2020, 'device_score': 1, 'os': '.'};Super;Toluca;Virtual;87000;43;Aceptada;False;13.34416696;2.401950053
15;M;100.2492617;16/01/2020;21;{'model': 2020, 'device_score': 2, 'os': 'ANDROID'};Abarrotes;Toluca;Física;87000;43;En proceso;False;0;1.002492617
15;M;332.6512343;2/01/2020;6;{'model': 2020, 'device_score': 5, 'os': '%%'};;Toluca;Física;87000;43;Aceptada;False;0;3.326512343
15;M;906.7733692;5/01/2020;23;{'model': 2020, 'device_score': 5, 'os': 'WEB'};Restaurante;Toluca;Virtual;87000;43;En proceso;False;90.67733692;16.32192065
15;M;627.4017008;9/01/2020;7;{'model': 2020, 'device_score': 1, 'os': 'ANDROID'};Super;Toluca;Física;87000;43;Rechazada;False;0;6.274017008
15;M;421.1706331;22/01/2020;21;{'model': 2020, 'device_score': 1, 'os': 'WEB'};Abarrotes;Toluca;Virtual;87000;43;En proceso;False;0;8.423412662
15;M;893.4629686;30/01/2020;4;{'model': 2020, 'device_score': 5, 'os': '%%'};Super;Toluca;Física;87000;43;Aceptada;False;0;8.934629686
15;M;707.3573677;22/01/2020;19;{'model': 2020, 'device_score': 1, 'os': '.'};N/A;Toluca;Física;87000;43;Aceptada;False;0;7.073573677
16;M;712.1848213;9/01/2020;14;{'model': 2020, 'device_score': 3, 'os': 'ANDROID'};NA;N/A;Física;67000;46;Aceptada;False;71.21848213;6.409663392
16;M;479.6308898;7/01/2020;9;{'model': 2020, 'device_score': 1, 'os': 'WEB'};Super;N/A;Virtual;67000;46;En proceso;False;47.96308898;8.633356016
16;M;346.047056;26/01/2020;16;{'model': 2020, 'device_score': 5, 'os': '.'};Restaurante;N/A;Física;67000;46;Rechazada;False;0;3.46047056
16;M;708.4591551;5/01/2020;14;{'model': 2020, 'device_score': 2, 'os': '.'};MPago;N/A;Física;67000;46;En proceso;False;0;7.084591551
17;M;857.1079772;13/01/2020;19;{'model': 2020, 'device_score': 4, 'os': 'WEB'};NA;Guadalajara;Física;76000;49;Aceptada;False;85.71079772;7.713971795
18;M;749.22238;23/01/2020;21;{'model': 2020, 'device_score': 3, 'os': 'ANDROID'};Restaurante;Merida;Física;65000;57;Aceptada;False;0;7.4922238
19;F;616.7447328;17/01/2020;6;{'model': 2020, 'device_score': 4, 'os': '%%'};Abarrotes;;Física;28000;42;Rechazada;False;123.3489466;4.933957863
19;F;880.4489825;9/01/2020;3;{'model': 2020, 'device_score': 1, 'os': '%%'};N/A;;Física;28000;42;Aceptada;False;0;8.804489825
19;F;962.2321431;29/01/2020;11;{'model': 2020, 'device_score': 1, 'os': '.'};Abarrotes;;Física;28000;42;Aceptada;False;0;9.622321431
